Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,45,4.83,0.683,162,1458,1131,13029,6073,4343,1606,124,133,0.98,-7,-1,,0,-21
Atlanta Braves,45,3.96,0.686,162,1458,1121,13164,6198,4388,1714,96,159,0.985,14,1,,0,-11
Baltimore Orioles,48,5.41,0.68,162,1458,1176,12861,6040,4287,1663,90,151,0.985,-10,-1,,0,22
Boston Red Sox,52,4.54,0.678,162,1458,1126,12930,5844,4310,1452,82,121,0.986,-26,-2,,-4,4
Chicago Cubs,45,4.17,0.698,161,1449,1060,13008,6014,4336,1573,105,144,0.983,0,0,,0,-14
Chicago White Sox,44,4.52,0.689,162,1458,1149,12957,6101,4319,1669,113,158,0.981,-40,-4,,-1,-4
Cincinnati Reds,45,4.46,0.704,162,1458,1118,13125,6060,4375,1596,89,161,0.985,73,7,,1,3
Cleveland Indians,51,5.34,0.681,162,1458,1189,12906,6050,4302,1651,97,170,0.984,-22,-2,,0,-7
Colorado Rockies,45,4.41,0.688,162,1458,1065,12945,6167,4315,1765,87,146,0.986,-14,-1,,1,5
Detroit Tigers,44,4.57,0.694,163,1467,1082,13023,6045,4341,1616,88,164,0.985,35,3,,3,11
Florida Marlins,44,4.73,0.686,162,1458,1086,13017,5914,4339,1469,106,129,0.982,-10,-1,,-6,-17
Houston Astros,42,4.75,0.677,162,1458,1147,12870,6087,4290,1719,78,161,0.987,-50,-5,,0,12
Kansas City Royals,43,5.2,0.675,162,1458,1102,12834,5964,4278,1569,117,159,0.98,-58,-5,,-9,-16
Los Angeles Angels of Anaheim,46,4.7,0.687,162,1458,1159,13005,6043,4335,1623,85,174,0.986,-2,0,,1,19
Los Angeles Dodgers,46,3.77,0.713,162,1458,1139,13260,6097,4420,1594,83,134,0.986,22,2,,1,0
Milwaukee Brewers,45,5.05,0.689,162,1458,1165,12915,5993,4305,1590,98,149,0.984,-7,-1,,0,0
Minnesota Twins,41,4.69,0.689,163,1467,1106,13077,6000,4359,1565,76,135,0.987,-38,-4,,-1,6
New York Mets,51,4.67,0.693,162,1458,1128,12834,5932,4278,1557,97,134,0.984,9,1,,1,-1
New York Yankees,44,4.65,0.698,162,1458,1024,13050,5929,4350,1493,86,131,0.985,6,1,,0,-9
Oakland Athletics,50,4.7,0.682,162,1458,1116,13026,6039,4342,1592,105,155,0.983,-64,-6,,0,9
Philadelphia Phillies,41,4.38,0.693,162,1458,1196,13101,6000,4367,1557,76,132,0.987,16,1,,1,5
Pittsburgh Pirates,49,4.77,0.69,161,1449,1237,12765,6094,4255,1766,73,171,0.988,-17,-2,,0,10
San Diego Padres,54,4.75,0.692,162,1458,1161,13056,6012,4352,1566,94,146,0.984,-33,-3,,0,1
Seattle Mariners,46,4.27,0.712,162,1458,1217,13074,5988,4358,1525,105,150,0.982,77,7,,1,-4
San Francisco Giants,44,3.77,0.706,162,1458,1051,13014,5937,4338,1511,88,138,0.985,47,4,,0,-8
St. Louis Cardinals,42,3.95,0.694,162,1458,972,12966,6273,4322,1855,96,167,0.985,35,3,,4,12
Tampa Bay Rays,41,4.65,0.695,162,1458,1105,12846,5891,4282,1511,98,135,0.983,56,5,,1,6
Texas Rangers,44,4.57,0.697,162,1458,1219,12912,6013,4304,1603,106,168,0.982,72,7,,1,1
Toronto Blue Jays,44,4.76,0.681,162,1458,1206,13059,6169,4353,1740,76,168,0.988,13,1,,1,7
Washington Nationals,55,5.4,0.683,162,1458,1082,12819,6158,4273,1742,143,155,0.977,-18,-2,,-1,-23
League Average,42,4.61,0.69,162,1458,1128,12982,6038,4327,1615,95,150,0.984,2,0,,0,0
