Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,41,4.36,0.685,162,1458,1141,12912,5982,4304,1565,113,137,0.981,-24,-2,,0,-14
Atlanta Braves,48,4.8,0.692,162,1458,1147,12966,6220,4322,1791,107,149,0.983,-5,0,,0,-1
Baltimore Orioles,46,5.4,0.687,161,1449,1112,12798,6027,4266,1661,100,163,0.983,-4,0,,0,4
Boston Red Sox,46,4.28,0.698,162,1458,1092,13017,6021,4339,1597,85,149,0.986,20,2,,0,4
Chicago Cubs,42,4.17,0.703,161,1449,1046,13056,5896,4352,1445,99,118,0.983,0,0,,0,-9
Chicago White Sox,38,4.47,0.686,163,1467,1110,13119,6211,4373,1730,108,155,0.983,-41,-4,,-3,1
Cincinnati Reds,47,4.94,0.671,162,1458,1063,12981,6008,4327,1567,114,156,0.981,-40,-4,,0,3
Cleveland Indians,48,4.7,0.685,162,1458,1156,12933,6094,4311,1689,94,182,0.985,13,1,,2,2
Colorado Rockies,49,5.07,0.677,162,1458,1123,13014,6250,4338,1816,96,176,0.985,-36,-3,,0,-2
Detroit Tigers,46,5.29,0.683,162,1458,1081,13005,6082,4335,1634,113,172,0.981,-18,-2,,0,-9
Florida Marlins,44,4.76,0.692,161,1449,1039,12918,5924,4306,1501,117,122,0.98,-6,-1,,0,3
Houston Astros,40,4.61,0.697,161,1449,1111,12828,5939,4276,1596,67,142,0.989,11,1,,0,0
Kansas City Royals,43,4.82,0.688,162,1458,1076,13011,5981,4337,1548,96,159,0.984,7,1,,-6,-6
Los Angeles Angels of Anaheim,41,4.3,0.691,162,1458,1119,13062,6091,4354,1646,91,159,0.985,23,2,,0,19
Los Angeles Dodgers,46,4,0.69,162,1458,1027,13026,6238,4342,1795,101,138,0.984,26,2,,-1,1
Milwaukee Brewers,42,4.25,0.7,162,1458,1211,13101,6166,4367,1698,101,160,0.984,21,2,,4,0
Minnesota Twins,39,4.57,0.684,163,1467,1185,13131,6167,4377,1682,108,168,0.982,-23,-2,,0,-4
New York Mets,49,4.41,0.699,162,1458,1129,13179,6028,4393,1552,83,126,0.986,9,1,,3,2
New York Yankees,51,4.49,0.682,162,1458,1095,12975,5994,4325,1586,83,141,0.986,6,1,,-1,10
Oakland Athletics,49,4.29,0.699,161,1449,1059,12915,5976,4305,1573,98,169,0.984,20,2,,5,3
Philadelphia Phillies,38,4.2,0.695,162,1458,1055,13047,6137,4349,1698,90,142,0.985,39,4,,1,3
Pittsburgh Pirates,47,5.46,0.675,162,1458,1167,13095,6302,4365,1830,107,179,0.983,-22,-2,,0,8
San Diego Padres,59,4.72,0.694,162,1458,1155,13125,6086,4375,1626,85,149,0.986,-21,-2,,0,-1
Seattle Mariners,44,5.01,0.679,162,1458,1158,12918,6059,4306,1654,99,160,0.984,-17,-2,,0,9
San Francisco Giants,47,4.69,0.685,162,1458,1034,12978,5815,4326,1393,96,129,0.983,5,0,,-3,-9
St. Louis Cardinals,43,4.48,0.694,162,1458,979,13086,6264,4362,1817,85,156,0.986,44,4,,6,1
Tampa Bay Rays,45,4.14,0.708,162,1458,1141,13119,5958,4373,1495,90,153,0.985,24,2,,1,-3
Texas Rangers,54,5.97,0.666,162,1458,1115,12978,6134,4326,1676,132,191,0.978,-25,-2,,-5,-8
Toronto Blue Jays,40,3.77,0.703,162,1458,1154,13020,6123,4340,1699,84,137,0.986,17,2,,1,2
Washington Nationals,50,5.12,0.686,161,1449,1106,12906,6003,4302,1578,123,143,0.98,-28,-3,,0,-18
League Average,42,4.65,0.689,162,1457,1106,13007,6073,4336,1638,99,153,0.984,-1,0,,0,0
