Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,47,4.52,0.691,162,1458,1089,12969,6064,4323,1635,106,157,0.983,40,4,,4,5
Atlanta Braves,50,4.52,0.696,162,1458,1118,13107,6133,4369,1657,107,141,0.983,27,2,,1,4
Baltimore Orioles,49,5.36,0.686,162,1458,1112,12948,6085,4316,1690,79,155,0.987,-8,-1,,0,5
Boston Red Sox,40,4.06,0.704,162,1458,1112,12948,5935,4316,1538,81,145,0.986,76,7,,0,8
Chicago Cubs,47,4.26,0.704,162,1458,1035,13020,5969,4340,1535,94,134,0.984,52,5,,2,8
Chicago White Sox,43,5.18,0.68,162,1458,1165,12966,6034,4322,1604,108,168,0.982,-47,-4,,-1,-7
Cincinnati Reds,50,5.27,0.676,162,1458,1094,13047,5961,4349,1517,95,155,0.984,-48,-4,,-1,-14
Cleveland Indians,41,4.35,0.685,162,1458,1115,13164,6177,4388,1697,92,167,0.985,3,0,,1,-8
Colorado Rockies,53,4.65,0.701,163,1467,1102,13248,6326,4416,1842,68,180,0.989,79,7,,1,0
Detroit Tigers,44,4.92,0.69,162,1458,1095,13026,6076,4342,1635,99,148,0.984,8,1,,1,-5
Florida Marlins,50,5.5,0.659,162,1458,1119,12993,5978,4331,1510,137,159,0.977,-50,-5,,-6,-7
Houston Astros,41,5.02,0.685,162,1458,993,13182,6186,4394,1689,103,128,0.983,-16,-1,,-1,-5
Kansas City Royals,45,4.8,0.681,162,1458,1111,12936,5971,4312,1553,106,160,0.982,17,2,,1,-2
Los Angeles Angels of Anaheim,42,4.51,0.678,162,1458,1131,12915,5956,4305,1550,101,154,0.983,12,1,,0,2
Los Angeles Dodgers,45,4.49,0.682,162,1458,1046,13050,6115,4350,1651,114,160,0.981,-19,-2,,0,18
Milwaukee Brewers,40,4.79,0.675,162,1458,1115,12999,5971,4333,1529,109,144,0.982,-45,-4,,0,13
Minnesota Twins,42,4.48,0.685,162,1458,1161,12930,6016,4310,1611,95,151,0.984,-4,0,,0,2
New York Mets,49,4.63,0.698,162,1458,1168,13071,5976,4357,1518,101,124,0.983,28,3,,0,-2
New York Yankees,49,4.8,0.689,162,1458,1099,13056,6028,4352,1588,88,174,0.985,9,1,,-1,-5
Oakland Athletics,52,4.68,0.691,162,1458,1174,13032,6121,4344,1687,90,153,0.985,-14,-1,,1,-10
Philadelphia Phillies,45,5.07,0.686,162,1458,1014,13125,6187,4375,1723,89,162,0.986,19,2,,1,-6
Pittsburgh Pirates,46,5.22,0.673,162,1458,1140,13029,6147,4343,1721,83,190,0.986,-34,-3,,0,4
San Diego Padres,46,4.09,0.699,163,1467,1165,13362,6312,4454,1766,92,147,0.985,-20,-2,,0,0
Seattle Mariners,43,5.02,0.672,162,1458,1120,12909,6049,4303,1656,90,167,0.985,-32,-3,,-1,-12
San Francisco Giants,44,4.44,0.694,162,1458,1072,13083,6115,4361,1666,88,148,0.986,7,1,,1,-4
St. Louis Cardinals,45,5.12,0.689,162,1458,1027,12921,6100,4307,1672,121,155,0.98,1,0,,5,8
Tampa Bay Devil Rays,45,5.83,0.652,162,1458,1211,12867,5954,4289,1548,117,155,0.98,-68,-6,,-1,-5
Texas Rangers,50,5.21,0.679,162,1458,1073,12870,6159,4290,1745,124,179,0.98,6,1,,0,-11
Toronto Blue Jays,45,4.31,0.703,162,1458,1131,13038,6301,4346,1853,102,160,0.984,58,5,,1,12
Washington Nationals,47,4.83,0.698,162,1458,1065,13020,6016,4340,1567,109,153,0.982,9,1,,0,-2
League Average,42,4.8,0.686,162,1459,1106,13028,6081,4343,1638,100,156,0.984,2,0,,0,0
