Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
Anaheim Angels,37,4.51,0.7,162,1458,1127,12939,6106,4313,1690,103,142,0.983,39,4
Arizona Diamondbacks,45,4.18,0.703,162,1458,1086,13137,6022,4379,1559,84,148,0.986,49,5
Atlanta Braves,47,3.97,0.702,162,1458,1116,13026,6081,4342,1636,103,133,0.983,61,6
Baltimore Orioles,46,5.12,0.694,162,1458,1173,12891,6021,4297,1599,125,137,0.979,-13,-1
Boston Red Sox,48,4.63,0.684,161,1449,1133,13032,6015,4344,1558,113,129,0.981,-50,-5
Chicago Cubs,43,4.33,0.688,162,1458,966,12933,5913,4311,1493,109,113,0.982,-12,-1
Chicago White Sox,41,4.91,0.698,162,1458,1090,12900,6149,4300,1731,118,149,0.981,7,1
Cincinnati Reds,49,5.25,0.684,162,1458,1033,12984,6199,4328,1733,138,136,0.978,-39,-4
Cleveland Indians,43,5.07,0.67,162,1458,1055,13020,6057,4340,1610,107,137,0.982,-49,-4
Colorado Rockies,52,5.59,0.691,162,1458,1107,12870,6080,4290,1694,96,167,0.984,61,6
Detroit Tigers,42,5.41,0.675,162,1458,1130,12864,6194,4288,1775,131,164,0.979,-35,-3
Florida Marlins,42,4.59,0.692,162,1458,1160,12942,6083,4314,1666,103,174,0.983,13,1
Houston Astros,43,4.75,0.692,162,1458,1061,13092,6136,4364,1662,110,138,0.982,-3,0
Kansas City Royals,44,5.3,0.69,162,1458,1156,12960,6238,4320,1801,117,204,0.981,50,5
Los Angeles Dodgers,41,4.59,0.696,162,1458,1108,13056,6054,4352,1586,116,138,0.981,-33,-3
Milwaukee Brewers,46,4.98,0.696,162,1458,1130,12927,6141,4309,1729,103,156,0.983,-7,-1
Minnesota Twins,42,4.73,0.698,162,1458,1172,12972,5974,4324,1542,108,118,0.982,30,3
Montreal Expos,46,5.01,0.682,162,1458,1145,12882,6023,4294,1621,108,139,0.982,-46,-4
New York Mets,43,4.4,0.694,162,1458,1034,13011,6014,4337,1576,101,132,0.983,-1,0
New York Yankees,45,4.43,0.683,161,1449,1133,13062,5992,4354,1529,109,132,0.982,-57,-5
Oakland Athletics,41,3.98,0.699,162,1458,1172,13170,6271,4390,1756,125,151,0.98,19,2
Philadelphia Phillies,44,4.44,0.699,162,1458,1212,13008,6030,4336,1603,91,145,0.985,42,4
Pittsburgh Pirates,49,5.3,0.687,162,1458,1035,12747,6181,4249,1799,133,168,0.978,-3,0
San Diego Padres,48,5.01,0.686,162,1458,1058,12966,6074,4322,1607,145,127,0.976,-46,-4
Seattle Mariners,35,3.87,0.727,162,1458,1047,13185,6012,4395,1534,83,137,0.986,104,9
San Francisco Giants,41,4.62,0.692,162,1458,1019,13170,6158,4390,1650,118,170,0.981,6,1
St. Louis Cardinals,39,4.22,0.703,162,1458,1055,12918,6080,4306,1664,110,156,0.982,61,6
Tampa Bay Devil Rays,46,5.48,0.683,162,1458,1195,12813,5941,4271,1531,139,144,0.977,-28,-3
Texas Rangers,51,5.98,0.673,162,1458,1146,12945,6067,4315,1638,114,167,0.981,-47,-4
Toronto Blue Jays,40,4.65,0.68,162,1458,1146,13164,6316,4388,1831,97,184,0.985,-4,0
League Average,40,4.78,0.691,162,1457,1107,12986,6087,4329,1647,112,148,0.982,2,0
