Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,33,28.8,5.86,21,830,730,123,190,38,1,23,113,15,6,84,140,0.26,0.338,0.41,0.748,110,299,15,6,2,8,3,149
Atlanta Braves,30,28.6,6.44,18,720,648,116,188,51,3,24,111,11,3,60,156,0.29,0.356,0.489,0.845,132,317,13,8,0,4,1,132
Baltimore Orioles,31,27,5.68,19,728,662,108,170,31,3,31,106,13,0,47,156,0.257,0.311,0.453,0.764,125,300,5,9,1,8,1,121
Boston Red Sox,33,27.1,4.43,21,797,713,93,163,30,3,28,88,18,9,70,207,0.229,0.302,0.397,0.699,97,283,10,8,0,6,5,134
Chicago Cubs,34,28.5,5.74,19,735,644,109,161,31,7,21,99,3,5,75,158,0.25,0.332,0.418,0.75,107,269,16,8,0,8,5,123
Chicago White Sox,34,28.6,2,19,659,591,38,112,28,1,10,35,7,5,54,161,0.19,0.263,0.291,0.554,61,172,17,6,6,2,0,113
Cincinnati Reds,28,27.2,5.37,19,716,629,102,142,36,5,22,96,37,8,69,182,0.226,0.307,0.404,0.711,95,254,8,8,2,8,0,112
Cleveland Guardians,30,26.4,5.6,20,781,694,112,175,35,4,20,100,17,6,56,153,0.252,0.32,0.401,0.721,112,278,14,18,3,10,6,130
Colorado Rockies,27,28.3,4,19,711,641,76,159,31,5,16,73,6,3,54,189,0.248,0.314,0.387,0.701,87,248,19,10,0,6,1,125
Detroit Tigers,28,27.4,3.8,20,765,682,76,152,28,5,14,71,10,0,68,189,0.223,0.299,0.34,0.639,85,232,14,8,0,5,3,147
Houston Astros,35,29.2,4.38,21,822,738,92,201,43,0,24,89,14,4,74,139,0.272,0.342,0.428,0.77,125,316,16,6,0,3,2,171
Kansas City Royals,27,27.5,5.05,20,737,663,101,160,31,4,25,95,22,4,65,150,0.241,0.311,0.413,0.724,107,274,9,4,1,4,2,121
Los Angeles Angels,28,28.6,4.35,20,766,691,87,166,23,4,21,76,25,6,60,184,0.24,0.307,0.376,0.683,97,260,13,9,1,5,1,137
Los Angeles Dodgers,36,30.7,5,22,853,751,110,196,38,2,26,107,12,3,84,207,0.261,0.336,0.421,0.757,110,316,13,6,0,10,3,167
Miami Marlins,34,28.3,3.65,20,730,667,73,143,21,1,16,71,12,3,52,160,0.214,0.275,0.321,0.596,66,214,21,5,2,3,2,115
Milwaukee Brewers,32,26.5,5.56,18,710,629,100,170,27,2,24,95,25,4,69,160,0.27,0.347,0.434,0.781,120,273,12,7,0,4,1,133
Minnesota Twins,34,28.9,3.44,18,674,596,62,114,26,4,16,57,5,1,57,187,0.191,0.277,0.329,0.606,77,196,9,15,2,4,2,123
New York Mets,33,29.8,5.05,19,738,652,96,164,26,1,21,91,15,2,68,145,0.252,0.331,0.391,0.722,106,255,12,11,4,3,1,140
New York Yankees,32,28.6,4.75,20,770,658,95,160,30,0,22,86,13,3,94,154,0.243,0.34,0.389,0.729,111,256,23,6,3,7,1,144
Oakland Athletics,28,26.5,2.9,20,722,655,58,136,23,3,19,57,8,3,58,198,0.208,0.275,0.339,0.614,85,222,11,4,2,3,2,129
Philadelphia Phillies,29,29.4,3.95,20,729,658,79,156,18,2,24,76,17,8,66,174,0.237,0.307,0.38,0.687,92,250,17,1,2,2,3,125
Pittsburgh Pirates,30,28.1,4.65,20,811,705,93,168,30,2,16,88,10,0,90,200,0.238,0.326,0.355,0.681,95,250,11,5,3,7,3,172
San Diego Padres,31,27.8,5,22,830,740,110,188,32,5,25,104,15,4,77,165,0.254,0.328,0.412,0.74,111,305,24,5,4,2,5,137
Seattle Mariners,30,28.7,3.47,19,694,614,66,131,21,2,18,66,8,3,70,198,0.213,0.301,0.342,0.643,92,210,11,8,0,2,1,131
San Francisco Giants,29,29.9,4.05,21,780,697,85,168,35,2,18,80,9,5,68,170,0.241,0.31,0.374,0.684,95,261,12,5,2,8,2,139
St. Louis Cardinals,30,27.5,3.55,20,751,655,71,145,30,5,13,67,7,4,64,174,0.221,0.299,0.342,0.641,81,224,13,13,6,10,3,143
Tampa Bay Rays,29,27.8,4.14,21,780,704,87,175,27,2,18,79,21,5,55,178,0.249,0.311,0.369,0.681,100,260,18,12,2,6,1,137
Texas Rangers,33,27.7,5.05,21,809,724,106,187,36,3,19,102,10,1,72,154,0.258,0.33,0.395,0.725,108,286,15,8,1,4,3,147
Toronto Blue Jays,31,29.3,3.9,20,745,652,78,154,35,1,17,72,13,2,79,152,0.236,0.325,0.371,0.696,104,242,19,9,0,5,0,143
Washington Nationals,31,27.7,3.63,19,702,622,69,144,32,3,18,66,34,7,58,156,0.232,0.306,0.379,0.686,95,236,12,12,2,7,2,124
League Average,31,28.2,4.48,20,753,670,89,161,31,3,20,84,14,4,67,170,0.241,0.315,0.386,0.701,100,259,14,8,2,5,2,135
