Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Anaheim Angels,38,4.53,0.688,162,1458,1062,13089,5964,4363,1511,90,126,0.985,-10,-1,,-1,5
Arizona Diamondbacks,52,5.55,0.682,162,1458,1147,12924,6163,4308,1716,139,144,0.977,-7,-1,,-1,-7
Atlanta Braves,39,4.12,0.688,162,1458,1095,13050,6257,4350,1791,116,171,0.981,49,4,,1,2
Baltimore Orioles,46,5.12,0.686,162,1458,1150,13098,6159,4366,1683,110,161,0.982,-13,-1,,-1,-9
Boston Red Sox,49,4.74,0.693,162,1458,982,13062,6122,4354,1650,118,129,0.981,-2,0,,0,-6
Chicago Cubs,43,4.1,0.697,162,1458,1123,13188,6061,4396,1579,86,126,0.986,-2,0,,-2,-6
Chicago White Sox,42,5.13,0.693,162,1458,1137,12891,6064,4297,1667,100,167,0.984,-4,0,,1,3
Cincinnati Reds,44,5.6,0.688,162,1458,1063,12993,6085,4331,1641,113,123,0.981,-13,-1,,0,3
Cleveland Indians,51,5.29,0.684,162,1458,1160,13200,6182,4400,1676,106,152,0.983,-20,-2,,0,7
Colorado Rockies,47,5.7,0.677,162,1458,1081,12918,6218,4306,1823,89,161,0.986,-34,-3,,-2,2
Detroit Tigers,39,5.21,0.681,162,1458,1125,12957,6175,4319,1712,144,160,0.977,-19,-2,,-1,-11
Florida Marlins,45,4.32,0.699,162,1458,1153,12951,6006,4317,1603,86,153,0.986,13,1,,1,9
Houston Astros,42,4.31,0.685,162,1458,1064,12987,6050,4329,1620,101,136,0.983,8,1,,2,7
Kansas City Royals,58,5.59,0.674,162,1458,1180,12783,6027,4261,1635,131,169,0.978,-52,-5,,0,-3
Los Angeles Dodgers,43,4.22,0.711,162,1458,1112,13080,6099,4360,1666,73,145,0.988,70,6,,1,4
Milwaukee Brewers,40,4.7,0.693,161,1449,1168,12978,6037,4326,1594,117,132,0.981,3,0,,0,-14
Minnesota Twins,42,4.41,0.684,162,1458,1120,13284,6187,4428,1658,101,158,0.984,-33,-3,,0,8
Montreal Expos,46,4.75,0.694,162,1458,1122,13023,6139,4341,1699,99,172,0.984,39,4,,1,5
New York Mets,52,4.51,0.696,162,1458,1040,13041,6229,4347,1745,137,144,0.978,-23,-2,,0,-3
New York Yankees,43,4.99,0.685,162,1458,1119,12993,6001,4331,1571,99,148,0.984,-54,-5,,-1,-6
Oakland Athletics,36,4.58,0.698,162,1458,1161,13242,6314,4414,1809,91,172,0.986,19,2,,0,-2
Philadelphia Phillies,39,4.82,0.702,162,1458,1157,13164,6098,4388,1629,81,142,0.987,39,4,,0,8
Pittsburgh Pirates,43,4.62,0.684,161,1449,1042,12852,6080,4284,1693,103,189,0.983,-17,-2,,-1,3
San Diego Padres,46,4.35,0.693,162,1458,1099,12969,6033,4323,1602,108,146,0.982,-17,-2,,0,1
Seattle Mariners,48,5.08,0.699,162,1458,1143,13134,5954,4378,1473,103,140,0.983,19,2,,0,7
San Francisco Giants,42,4.75,0.694,162,1458,1064,13113,6209,4371,1737,101,153,0.984,20,2,,-1,-7
St. Louis Cardinals,37,4.07,0.71,162,1458,1037,13083,6292,4361,1834,97,154,0.985,72,7,,5,3
Tampa Bay Devil Rays,47,5.23,0.699,161,1449,1163,12753,5900,4251,1530,119,139,0.98,38,4,,0,-11
Texas Rangers,52,4.9,0.686,162,1458,1151,12957,6064,4342,1607,115,152,0.981,-23,-2,,-2,1
Toronto Blue Jays,47,5.11,0.691,161,1449,1184,12789,5985,4263,1631,91,150,0.985,-20,-2,,4,-2
League Average,41,4.81,0.691,162,1457,1113,13018,6105,4340,1660,105,150,0.983,1,0,,0,0
