Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,43,5.28,0.683,162,1458,1093,13107,6257,4369,1794,94,159,0.985,-25,-2,,0,-2
Atlanta Braves,45,4.16,0.693,162,1458,1142,12993,6219,4331,1802,86,170,0.986,71,7,,1,1
Baltimore Orioles,46,4.94,0.692,162,1458,1111,12849,6069,4283,1679,107,154,0.982,7,1,,0,13
Boston Red Sox,52,4.97,0.682,162,1458,1063,12861,6019,4287,1623,109,135,0.982,-72,-7,,0,1
Chicago Cubs,43,4.41,0.699,162,1458,1109,12960,6079,4320,1658,101,136,0.983,0,0,,0,-9
Chicago White Sox,37,3.98,0.711,162,1458,1183,13281,6191,4427,1670,94,166,0.985,8,1,,1,12
Cincinnati Reds,45,5.45,0.676,163,1467,1153,12897,5990,4299,1587,104,133,0.983,-49,-5,,-4,-4
Cleveland Indians,36,3.96,0.709,162,1458,1212,13074,6110,4358,1646,106,156,0.983,70,6,,3,-1
Colorado Rockies,53,5.32,0.67,162,1458,1121,12768,6080,4256,1706,118,158,0.981,-24,-2,,0,0
Detroit Tigers,45,4.86,0.695,162,1458,1133,12921,6208,4307,1791,110,171,0.982,12,1,,1,2
Florida Marlins,47,4.52,0.677,162,1458,1123,12981,6089,4327,1659,103,177,0.983,-50,-5,,-1,-5
Houston Astros,36,3.74,0.705,163,1467,1068,12987,6118,4329,1700,89,146,0.985,43,4,,1,5
Kansas City Royals,45,5.77,0.666,162,1458,1165,12720,6011,4240,1646,125,163,0.979,-77,-7,,-2,-7
Los Angeles Angels of Anaheim,40,3.97,0.7,162,1458,1114,13179,6001,4393,1521,87,139,0.986,27,2,,0,-2
Los Angeles Dodgers,44,4.66,0.699,162,1458,1078,12846,6115,4282,1727,106,141,0.983,-4,0,,0,-4
Milwaukee Brewers,38,4.3,0.696,162,1458,1157,12942,5915,4314,1482,119,139,0.98,-12,-1,,0,-6
Minnesota Twins,37,4.09,0.702,162,1458,1137,13179,6259,4393,1764,102,171,0.984,33,3,,4,-3
New York Mets,42,4,0.7,162,1458,1128,12921,6070,4307,1657,106,146,0.983,11,1,,-2,-6
New York Yankees,51,4.87,0.69,162,1458,1097,12876,6075,4292,1688,95,151,0.984,-67,-6,,-2,11
Oakland Athletics,41,4.06,0.715,162,1458,1188,13053,6088,4351,1649,88,166,0.986,61,6,,1,3
Philadelphia Phillies,40,4.48,0.703,162,1458,1130,12915,6003,4305,1608,90,132,0.985,69,6,,2,0
Pittsburgh Pirates,44,4.75,0.693,162,1458,1101,12924,6228,4308,1803,117,193,0.981,6,1,,2,3
San Diego Padres,46,4.48,0.689,162,1458,1049,13098,6004,4366,1529,109,136,0.982,-42,-4,,-4,-11
Seattle Mariners,48,4.64,0.701,162,1458,1200,12849,5944,4283,1575,86,144,0.986,-8,-1,,0,0
San Francisco Giants,49,4.6,0.699,162,1458,1104,12999,6053,4333,1630,90,146,0.985,18,2,,0,-3
St. Louis Cardinals,40,3.91,0.703,162,1458,1030,13011,6388,4337,1951,100,196,0.984,90,8,,1,5
Tampa Bay Devil Rays,43,5.78,0.681,162,1458,1104,12795,5835,4265,1446,124,139,0.979,-43,-4,,0,4
Texas Rangers,50,5.3,0.68,162,1458,1202,12960,6106,4320,1678,108,149,0.982,-34,-3,,-1,-8
Toronto Blue Jays,36,4.35,0.701,162,1458,1109,13023,6193,4341,1757,95,154,0.985,5,0,,6,22
Washington Nationals,54,4.15,0.697,162,1458,1087,13122,6014,4374,1548,92,156,0.985,-5,0,,0,-15
League Average,41,4.59,0.693,162,1459,1123,12970,6091,4323,1666,102,154,0.983,1,0,,0,0
