Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Anaheim Angels,38,27.9,4.27,162,6226,5551,691,1447,275,26,158,662,116,52,494,1001,0.261,0.327,0.405,0.732,91,2248,109,77,46,53,34,1203
Arizona Diamondbacks,47,31.9,5.05,162,6349,5595,818,1494,284,35,208,776,71,38,587,1052,0.267,0.341,0.442,0.783,94,2472,105,57,71,36,73,1183
Atlanta Braves,47,30.4,4.5,162,6152,5498,729,1432,263,24,174,696,85,46,493,1039,0.26,0.324,0.412,0.736,87,2265,132,45,64,52,51,1095
Baltimore Orioles,46,30.2,4.24,162,6151,5472,687,1359,262,24,136,663,133,53,514,989,0.248,0.319,0.38,0.699,88,2077,121,77,38,49,26,1106
Boston Red Sox,48,30,4.8,161,6264,5605,772,1493,316,29,198,739,46,35,520,1131,0.266,0.334,0.439,0.773,101,2461,132,70,28,41,50,1161
Chicago Cubs,43,30.7,4.8,162,6219,5406,777,1409,268,32,194,748,67,36,577,1077,0.261,0.336,0.43,0.766,101,2323,132,66,117,53,72,1156
Chicago White Sox,42,28.5,4.93,162,6151,5464,798,1463,300,29,214,770,123,59,520,998,0.268,0.334,0.451,0.785,102,2463,128,52,63,51,31,1054
Cincinnati Reds,50,28,4.54,162,6222,5583,735,1464,304,22,176,690,103,54,468,1172,0.262,0.324,0.419,0.744,87,2340,130,65,66,40,47,1115
Cleveland Indians,44,31.1,5.54,162,6357,5600,897,1559,294,37,212,868,79,41,577,1076,0.278,0.35,0.458,0.807,111,2563,126,69,49,62,32,1136
Colorado Rockies,53,28.2,5.7,162,6394,5690,923,1663,324,61,213,874,132,54,511,1027,0.292,0.354,0.483,0.837,97,2748,116,61,81,50,50,1158
Detroit Tigers,44,28.2,4.47,162,6145,5537,724,1439,291,60,139,691,133,61,466,972,0.26,0.32,0.409,0.73,97,2267,120,51,41,49,26,1093
Florida Marlins,42,27.3,4.58,162,6184,5542,742,1461,325,30,166,713,89,40,470,1145,0.264,0.326,0.423,0.749,95,2344,118,67,60,45,43,1117
Houston Astros,45,30.3,5.23,162,6325,5528,847,1500,313,29,208,805,64,49,581,1119,0.271,0.347,0.451,0.798,100,2495,128,89,71,56,52,1151
Kansas City Royals,44,28.2,4.5,162,6176,5643,729,1503,277,37,152,691,100,42,406,898,0.266,0.318,0.409,0.727,86,2310,134,44,36,47,31,1086
Los Angeles Dodgers,41,30.2,4.68,162,6169,5493,758,1399,264,27,206,714,89,42,519,1062,0.255,0.323,0.425,0.748,99,2335,115,56,57,44,45,1075
Milwaukee Brewers,46,29.4,4.57,162,6148,5488,740,1378,273,30,209,712,66,36,488,1399,0.251,0.319,0.426,0.745,93,2338,102,72,65,35,44,1067
Minnesota Twins,42,26.2,4.76,162,6185,5560,771,1514,328,38,164,717,146,67,495,1083,0.272,0.337,0.433,0.77,101,2410,124,64,25,38,42,1101
Montreal Expos,47,27.6,4.14,162,6026,5379,670,1361,320,28,131,622,101,51,478,1071,0.253,0.319,0.396,0.715,83,2130,151,60,64,45,59,1024
New York Mets,44,30.4,3.96,162,6156,5459,642,1361,273,18,147,608,66,48,545,1062,0.249,0.323,0.387,0.71,87,2111,124,65,52,35,59,1181
New York Yankees,47,31.2,4.99,161,6233,5577,804,1488,289,20,203,774,161,53,519,1035,0.267,0.334,0.435,0.769,100,2426,119,64,30,43,38,1123
Oakland Athletics,42,27.3,5.46,162,6385,5573,884,1469,334,22,199,835,68,29,640,1021,0.264,0.345,0.439,0.784,107,2444,131,88,25,59,57,1171
Philadelphia Phillies,46,26.9,4.6,162,6219,5497,746,1431,295,29,164,708,153,47,551,1125,0.26,0.329,0.414,0.743,93,2276,104,43,67,61,52,1157
Pittsburgh Pirates,49,27.7,4.06,162,6027,5398,657,1333,256,25,161,618,93,73,467,1106,0.247,0.313,0.393,0.706,79,2122,114,67,60,35,51,1058
San Diego Padres,48,28.9,4.87,162,6278,5482,789,1379,273,26,161,753,129,44,678,1273,0.252,0.336,0.399,0.735,97,2187,121,41,29,48,37,1160
Seattle Mariners,35,31.3,5.72,162,6474,5680,927,1637,310,38,169,881,174,42,614,989,0.288,0.36,0.445,0.805,117,2530,112,62,48,70,54,1257
San Francisco Giants,41,31.4,4.93,162,6408,5612,799,1493,304,40,235,775,57,42,625,1090,0.266,0.342,0.46,0.802,112,2582,108,50,67,54,79,1242
St. Louis Cardinals,40,28.8,5.02,162,6177,5450,814,1469,274,32,199,768,91,35,529,1089,0.27,0.339,0.441,0.78,100,2404,125,65,83,50,51,1095
Tampa Bay Devil Rays,46,28,4.15,162,6104,5524,672,1426,311,21,121,645,115,52,456,1116,0.258,0.32,0.388,0.707,88,2142,130,54,45,25,24,1104
Texas Rangers,51,29.8,5.49,162,6388,5685,890,1566,326,23,246,844,97,32,548,1093,0.275,0.344,0.471,0.815,109,2676,131,75,25,55,27,1161
Toronto Blue Jays,41,28.2,4.73,162,6284,5663,767,1489,287,36,195,728,156,55,470,1094,0.263,0.325,0.43,0.755,96,2433,111,74,34,43,47,1124
League Average,41,29.2,4.78,162,6233,5541,773,1463,294,31,182,736,103,47,527,1080,0.264,0.332,0.427,0.759,97,2364,122,63,54,47,46,1130
